levelName,carW,carH,totalSeatCount,genSeatCount,genColorCount,seatArray
level_1,3,5,15,3,1,
level_2,3,5,15,4,1,
level_3,3,5,15,5,1,
level_4,3,5,15,8,1,
level_5,3,5,15,8,2,
level_6,3,5,15,8,2,
level_7,4,5,20,10,2,
level_8,4,5,20,10,2,
level_9,4,5,20,10,2,
level_10,4,5,20,13,2,
level_11,4,6,24,15,2,
level_12,4,6,24,15,2,
level_13,4,6,24,15,3,
level_14,4,6,24,15,3,
level_15,4,6,24,15,3,
level_16,4,6,24,15,3,
level_17,4,6,24,15,3,
level_18,4,6,24,15,3,
level_19,4,6,24,15,3,
level_20,4,6,24,15,3,
level_21,4,6,24,15,3,
level_22,4,6,24,15,3,
level_23,4,6,24,15,3,
level_24,4,6,24,15,3,
level_25,4,6,24,15,3,
level_26,4,6,24,15,3,
level_27,4,6,24,15,3,
level_28,4,6,24,15,3,
level_29,4,6,24,15,3,
level_30,4,6,24,15,3,
level_31,4,6,24,15,3,
level_32,4,6,24,15,3,
level_33,4,6,24,15,3,
level_34,4,6,24,16,3,
level_35,4,6,24,16,3,
level_36,4,6,24,16,3,
level_37,4,6,24,16,3,
level_38,4,6,24,16,3,
level_39,5,7,35,17,3,
level_40,5,7,35,17,3,
level_41,5,7,35,17,3,
level_42,5,7,35,17,3,
level_43,5,7,35,17,3,
level_44,5,7,35,17,3,
level_45,5,7,35,17,3,
level_46,5,7,35,17,3,
level_47,5,7,35,17,3,
level_48,5,7,35,17,3,
level_49,5,7,35,17,3,
level_50,5,7,35,17,4,
level_51,5,7,35,17,4,
level_52,5,7,35,17,4,
level_53,5,7,35,17,4,
level_54,5,7,35,17,4,
level_55,5,7,35,17,4,
level_56,5,7,35,17,4,
level_57,5,8,40,20,4,
level_58,5,8,40,20,4,
level_59,5,8,40,24,4,
level_60,5,8,40,26,4,
level_61,5,8,40,26,4,
level_62,5,8,40,26,4,
level_63,6,8,48,24,4,
level_64,6,8,48,24,4,
level_65,6,8,48,24,4,
level_66,6,8,48,32,4,
level_67,6,8,48,32,4,
level_68,6,8,48,32,4,
level_69,6,8,48,32,4,
level_70,6,8,48,32,4,
level_71,6,8,48,32,4,
level_72,6,8,48,32,4,
level_73,6,8,48,32,4,
level_74,6,8,48,32,4,
level_75,6,8,48,32,4,
level_76,6,8,48,32,4,
level_77,6,8,48,32,4,
level_78,6,8,48,32,4,
level_79,6,8,48,32,4,
level_80,6,8,48,32,5,
level_81,6,8,48,32,5,
level_82,6,8,48,36,5,
level_83,6,8,48,36,5,
level_84,6,8,48,30,5,
level_85,6,8,48,30,5,
level_86,6,8,48,30,5,
level_87,6,8,48,30,5,
level_88,6,8,48,30,5,
level_89,6,8,48,30,5,
level_90,6,8,48,30,5,
level_91,6,9,54,30,5,
level_92,6,9,54,30,5,
level_93,6,9,54,35,5,
level_94,6,9,54,35,5,
level_95,6,9,54,35,5,
level_96,6,9,54,35,5,
level_97,6,9,54,40,5,
level_98,6,9,54,40,5,
level_99,6,9,54,40,5,
level_100,6,9,54,40,5,
level_101,6,9,54,40,5,
level_102,6,9,54,31,5,
level_103,6,9,54,31,5,
level_104,6,9,54,36,5,
level_105,6,9,54,36,5,
level_106,6,9,54,36,5,
level_107,6,9,54,36,5,
level_108,6,9,54,41,5,
level_109,6,9,54,40,6,
level_110,6,9,54,40,6,
level_111,6,9,54,40,6,
level_112,6,9,54,40,6,
level_113,6,9,54,40,6,
level_114,6,9,54,40,6,
level_115,6,9,54,40,6,
level_116,6,9,54,40,6,
level_117,6,9,54,40,6,
level_118,6,9,54,40,6,
